Iteration;Ville;Temps_ms
1;Toulouse;83
2;Toulouse;65
3;Toulouse;55
4;Toulouse;59
5;Bordeaux;63
6;Paris;59
7;Bordeaux;62
8;Bordeaux;65
9;Bordeaux;64
10;Paris;65
11;Toulouse;63
12;Bordeaux;56
13;Paris;56
14;Paris;69
15;Bordeaux;64
16;Bordeaux;62
17;Paris;65
18;Paris;64
19;Bordeaux;54
20;Paris;60
21;Toulouse;65
22;Toulouse;63
23;Bordeaux;63
24;Toulouse;63
25;Paris;80
26;Bordeaux;57
27;Paris;59
28;Bordeaux;65
29;Bordeaux;58
30;Toulouse;77
31;Bordeaux;66
32;Toulouse;68
33;Paris;73
34;Paris;69
35;Paris;87
36;Bordeaux;69
37;Paris;67
38;Bordeaux;178
39;Bordeaux;71
40;Paris;60
41;Bordeaux;70
42;Bordeaux;63
43;Bordeaux;62
44;Bordeaux;63
45;Toulouse;61
46;Paris;63
47;Bordeaux;65
48;Toulouse;80
49;Bordeaux;69
50;Paris;68
51;Toulouse;64
52;Paris;75
53;Toulouse;58
54;Bordeaux;58
55;Toulouse;58
56;Paris;59
57;Toulouse;72
58;Toulouse;64
59;Bordeaux;65
60;Paris;62
61;Toulouse;56
62;Paris;55
63;Paris;65
64;Toulouse;61
65;Paris;62
66;Bordeaux;60
67;Paris;59
68;Paris;61
69;Bordeaux;56
70;Toulouse;69
71;Bordeaux;53
72;Paris;87
73;Toulouse;60
74;Paris;60
75;Bordeaux;60
76;Bordeaux;59
77;Paris;59
78;Bordeaux;57
79;Paris;62
80;Paris;61
81;Paris;57
82;Bordeaux;63
83;Bordeaux;62
84;Paris;59
85;Toulouse;59
86;Toulouse;58
87;Bordeaux;60
88;Toulouse;54
89;Paris;63
90;Toulouse;61
91;Bordeaux;61
92;Toulouse;61
93;Toulouse;56
94;Bordeaux;58
95;Paris;53
96;Toulouse;72
97;Toulouse;63
98;Paris;57
99;Toulouse;54
100;Bordeaux;59
